id,date,jurisdiction,actor,component_code,score_0_4,short_reason,source_type,source_link,confidence
CAEI-2025-0001,2025-09-15,US-federal,ICE/Enforcement,EC,3,"Expansion of detention bed capacity and specialized enforcement units beyond prior baselines.","budget_analysis","https://example.org/ec","High"
CAEI-2025-0002,2025-09-25,US-federal,DHS/Task Force,OR,3,"Cross-jurisdictional task forces with broad operational reach and flexible mandates.","policy_report","https://example.org/or","Medium"
CAEI-2025-0003,2025-10-05,US-federal,ICE Operations,TI,3,"Persistent disparate impacts on migrants and specific communities in enforcement outcomes.","litigation_summary","https://example.org/ti","High"
CAEI-2025-0004,2025-10-20,US-federal,Inspectors General,OA_raw,2,"Some active IG and court oversight, but gaps remain and remedial follow-through is uneven.","ig_report","","Medium"
CAEI-2025-0005,2025-11-01,US-federal,Legislature/Executive,LR_raw,1,"Legal authorities for detention and force are broad with limited new restraint, but some process safeguards exist.","law_review","https://example.org/lr","Medium"
CA-2025-0101,2025-11-14,US-federal,Defense Contractor Alpha,EC,3,"Large long-term security contract awarded with minimal competition and opaque pricing structure.",contract_award,https://example.org/caec1,High
CA-2025-0102,2025-11-19,US-federal,Security Vendor Beta,OR,2,"Expansion of data-sharing agreements between federal agencies and a small set of private surveillance vendors.",policy_brief,https://example.org/caor1,Medium
CA-2025-0103,2025-11-23,US-federal,Cloud Provider Gamma,TI,2,"Deep integration of federal case-management tools with a single cloud platform, increasing switching costs.",tech_analysis,https://example.org/cati1,Medium
CA-2025-0104,2025-11-27,US-federal,Inspector General Office,OA_raw,1,"Oversight report flags recurring procurement weaknesses but lacks enforcement teeth or binding remedies.",oversight_report,https://example.org/caoa1,High
CA-2025-0105,2025-11-30,US-federal,Federal Court System,LR_raw,2,"Pending litigation challenges bundled security contracts but progress is slow and outcomes uncertain.",court_docket,https://example.org/calr1,Medium
