id,date,jurisdiction,actor,indicator_id,pillar,score_0_4,short_reason,source_type,source_link,confidence
EVT-2025-0001,2025-11-15,US-federal,Supreme Court,S.2,S,3,"Expanded immunity for official acts narrows executive accountability.","court_opinion","https://example.org/opinion","High"
EVT-2025-0002,2025-10-02,US-federal,Executive,C.3,C,2,"Guard deployment posture near peaceful demonstrations raised coercion concerns.","news_report","https://example.org/article","Medium"
EVT-2025-0003,2025-09-20,US-federal,State Legislature,L.2,L,2,"Procedural games around certification but results ultimately held.","news_report","","Medium"
EVT-2025-0004,2025-10-10,US-federal,Attorney General,A.1,A,2,"Pattern of investigations concentrated on opposition figures while similar behavior by allies is ignored.","news_report","https://example.org/a1","Medium"
EVT-2025-0005,2025-10-18,US-federal,Executive,E.1,E,2,"Use of regulatory threats and selective contracts to pressure media and business opponents.","investigative_report","https://example.org/e1","High"
EVT-2025-0006,2025-10-25,US-federal,Administration,S2.1,S2,2,"Harsh rhetoric toward independent media and sporadic access restrictions raise press freedom concerns.","press_freedom_index","https://example.org/s21","Medium"
EVT-2025-0101,2025-11-20,US-federal,Department of Homeland Security,S.2,S,3,"New biometric checkpoints deployed at major airports without clear civil-liberties safeguards.",news_report,https://example.org/evt0101,Medium
EVT-2025-0102,2025-11-05,US-federal,Executive Branch,C.3,C,2,"Coordinated pressure on independent agencies to narrow the scope of permissible protests near federal facilities.",news_report,https://example.org/evt0102,Medium
EVT-2025-0103,2025-10-28,US-federal,Department of Justice,A.1,A,3,"Selective prosecution patterns reported against specific advocacy groups challenging federal security policy.",civil_liberties_report,https://example.org/evt0103,High
EVT-2025-0104,2025-10-12,US-federal,Office of Management and Budget,E.1,E,2,"Budget reallocation increases funding for opaque security programs while cutting independent oversight bodies.",budget_analysis,https://example.org/evt0104,Medium
EVT-2025-0105,2025-11-02,US-federal,Congress,L.2,L,2,"Fast-track procedures used to renew emergency powers with limited floor debate and public scrutiny.",legislation_tracker,https://example.org/evt0105,Medium
EVT-2025-0106,2025-11-30,US-federal,Federal Communications Commission,S2.1,S2,3,"Regulatory changes expand content takedown pathways for platforms based on broad notions of national security.",regulatory_filing,https://example.org/evt0106,Medium
